"Source #2 #","Category","Source #2 Name","External Reference Price","Supplied Specimen","Supplied Volume/Schedule/Method","Evidence Field","Existing 256 Match","Existing Production Match","Canonical Proposed Identity","Relationship","Workflow Boundary","Conflict","Price Authority"
"116","Serology & Immunology","APLA Profile (Basic)","8500","Serum","3 ml","SampleVolume","","","APLA_PROFILE_BASIC — APLA Profile (Basic)","ProfileCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"117","Serology & Immunology","APLA Profile (Advanced)","10500","Serum/Citrated Plasma","3 ml","SampleVolume","","","APLA_PROFILE_ADVANCED — APLA Profile (Advanced)","ProfileCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"118","Serology & Immunology","Rheumatoid Factor (Quant)","900","Serum","2 ml","SampleVolume","","","RHEUMATOID_FACTOR_QUANT — Rheumatoid Factor (Quant)","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"119","Serology & Immunology","Rheumatoid Factor Test","350","Serum","2 ml","SampleVolume","","","RHEUMATOID_FACTOR — Rheumatoid Factor Test","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"120","Serology & Immunology","ASO (Quantitative)","1000","Serum","2 ml","SampleVolume","","","ASO_QUANTITATIVE — ASO (Quantitative)","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"121","Serology & Immunology","ASO Test","300","Serum","2 ml","SampleVolume","","","ASO — ASO Test","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"122","Serology & Immunology","CRP (Quant)","900","Serum","1 ml","SampleVolume","","","CRP_QUANT — CRP (Quant)","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"123","Serology & Immunology","CRP Test","350","Serum","1 ml","SampleVolume","","","CRP — CRP Test","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"124","Serology & Immunology","hs-CRP","1300","Serum","2 ml","SampleVolume","","","HS_CRP — hs-CRP","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"125","Serology & Immunology","Ferritin","1600","Serum","2 ml","SampleVolume","Ferritin","FERRITIN — Serum Ferritin [Active/Routine; clinical=false]","FERRITIN — Serum Ferritin","Existing256Match","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"126","Serology & Immunology","B12 (Vitamin)","1600","Serum","2 ml","SampleVolume","Vitamin B12","VITAMIN_B12 — Vitamin B12 (Cyanocobalamin) [Active/Routine; clinical=false]","VITAMIN_B12 — Vitamin B12 (Cyanocobalamin)","Existing256Match","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"127","Serology & Immunology","Folic Acid","2000","Serum","2 ml","SampleVolume","Folic Acid","","Folic Acid","Existing256Match","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"128","Serology & Immunology","Vitamin D (25-Hydroxy)","2800","Serum","2 ml","SampleVolume","25 Hydroxy (OH) Vitamin D","VITAMIN_D — 25-Hydroxy Vitamin D (Total) [Active/Routine; clinical=false]","VITAMIN_D — 25-Hydroxy Vitamin D (Total)","Existing256Match","Routine LIS / Serology-Immunology","Semantic match requires operator confirmation","ExternalReferencePrice"
"129","Serology & Immunology","Vitamin D3 (1,25-Dihydroxy)","6500","Serum","1 ml","SampleVolume","","","VITAMIN_D3_1_25_DIHYDROXY — Vitamin D3 (1,25-Dihydroxy)","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"130","Serology & Immunology","Ceruloplasmin","2500","Serum","1 ml","SampleVolume","","","CERULOPLASMIN — Ceruloplasmin","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"131","Serology & Immunology","Haptoglobin","3300","Serum","2 ml","SampleVolume","","","HAPTOGLOBIN — Haptoglobin","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"132","Serology & Immunology","Immunoglobulin G/A/M","2000","Serum","2 ml","SampleVolume","","","IMMUNOGLOBULIN_G_A_M — Immunoglobulin G/A/M","ProfileCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"133","Serology & Immunology","Immunoglobulin E (IgE)","2000","Serum","2 ml","SampleVolume","","","IMMUNOGLOBULIN_E_IGE — Immunoglobulin E (IgE)","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"134","Serology & Immunology","Free Light Chain Assay - Serum","10000","Serum","2 ml","SampleVolume","","","FREE_LIGHT_CHAIN_ASSAY — Free Light Chain Assay - Serum","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"135","Serology & Immunology","Free Light Chain Assay - Urine","9000","Urine","10 ml","SampleVolume","","","FREE_LIGHT_CHAIN_ASSAY_URINE — Free Light Chain Assay - Urine","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"136","Serology & Immunology","Protein Electrophoresis","2200","Serum","2 ml","SampleVolume","","","PROTEIN_ELECTROPHORESIS — Protein Electrophoresis","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"137","Serology & Immunology","Immunofixation Electrophoresis (Serum)","10000","Serum","2 ml","SampleVolume","","","IMMUNOFIXATION_ELECTROPHORESIS — Immunofixation Electrophoresis (Serum)","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"138","Molecular & PCR Tests","COVID-19 rRT PCR","1500","NP/OP Swab","RT-PCR","Method","","","COVID_19_RRT_PCR — COVID-19 rRT PCR","SpecialistNewCandidate","MolecularWorkflow","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"139","Molecular & PCR Tests","HBV Viral Load (Quantitative)","9000","Whole Blood EDTA","RT-PCR","Method","","","HBV_VIRAL_LOAD_QUANTITATIVE — HBV Viral Load (Quantitative)","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"140","Molecular & PCR Tests","HCV Viral Load (Quantitative)","10500","Whole Blood EDTA","RT-PCR","Method","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","SpecialistExistingOrVariant","MolecularWorkflow","Semantic match requires operator confirmation","ExternalReferencePrice"
"141","Molecular & PCR Tests","HCV Genotyping","11000","Whole Blood EDTA","RT-PCR","Method","","","HCV_GENOTYPING — HCV Genotyping","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"142","Molecular & PCR Tests","HIV-1 & HIV-2 RNA","7500","Plasma","RT-PCR","Method","","","HIV_1_HIV_2_RNA — HIV-1 & HIV-2 RNA","AdditionalCandidate","MolecularWorkflow","","ExternalReferencePrice"
"143","Molecular & PCR Tests","TB PCR","4000","CSF/Sputum/Urine","RT-PCR","Method","","","TB_PCR — TB PCR","SpecialistNewCandidate","MolecularWorkflow","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"144","Molecular & PCR Tests","TB Gold (IGRA)","4500","Lithium Heparin","CLIA","Method","","","TB_GOLD_IGRA — TB Gold (IGRA)","AdditionalCandidate","MolecularWorkflow","","ExternalReferencePrice"
"145","Molecular & PCR Tests","TB Gold Plus","5500","Lithium Heparin","ELISA","Method","","","TB_GOLD_PLUS — TB Gold Plus","AdditionalCandidate","MolecularWorkflow","","ExternalReferencePrice"
"146","Molecular & PCR Tests","HPV DNA (16/18)","3500","Vaginal Swab","RT-PCR","Method","","","HPV_DNA_16_18 — HPV DNA (16/18)","AdditionalCandidate","MolecularWorkflow","","ExternalReferencePrice"
"147","Molecular & PCR Tests","HLA B27 (PCR)","5000","Whole Blood EDTA","RT-PCR","Method","","","HLA_B27_PCR — HLA B27 (PCR)","SpecialistNewCandidate","MolecularWorkflow","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"148","Molecular & PCR Tests","HLA B27 (Flowcytometry)","5000","EDTA/Heparin Blood","Flow Cytometry","Method","","","HLA_B27_FLOWCYTOMETRY — HLA B27 (Flowcytometry)","AdditionalCandidate","MolecularWorkflow","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"149","Molecular & PCR Tests","JAK-2 Mutation","9500","Whole Blood EDTA","RT-PCR","Method","","","JAK_2_MUTATION — JAK-2 Mutation","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"150","Molecular & PCR Tests","BCR/ABL (IS) Quantitative","12000","Whole Blood EDTA","RT-PCR","Method","","","BCR_ABL_IS_QUANTITATIVE — BCR/ABL (IS) Quantitative","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"151","Molecular & PCR Tests","BCR/ABL Minor (p190)","8000-9000","Whole Blood/Bone Marrow","RT-PCR","Method","","","BCR_ABL_MINOR_P190 — BCR/ABL Minor (p190)","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"152","Molecular & PCR Tests","Bacterial Meningitis Panel","10500","CSF","RT-PCR","Method","","","BACTERIAL_MENINGITIS_PANEL — Bacterial Meningitis Panel","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"153","Molecular & PCR Tests","Respiratory Virus Panels I-V","7500","Throat/Nasal Swabs","RT-PCR","Method","","","RESPIRATORY_VIRUS_PANELS_I_V — Respiratory Virus Panels I-V","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"154","Molecular & PCR Tests","Respiratory Infection Comprehensive","28500","Throat/Nasal Swabs/BAL","RT-PCR","Method","","","RESPIRATORY_INFECTION_COMPREHENSIVE — Respiratory Infection Comprehensive","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"155","Molecular & PCR Tests","Viral Meningitis Panels","8500","CSF/Blood","RT-PCR","Method","","","VIRAL_MENINGITIS_PANELS — Viral Meningitis Panels","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"156","Molecular & PCR Tests","Neuro Virus Comprehensive","26000","CSF/Blood","RT-PCR","Method","","","NEURO_VIRUS_COMPREHENSIVE — Neuro Virus Comprehensive","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"157","Molecular & PCR Tests","STD Urethritis Panels","8500","Genital Swab/Urine","RT-PCR","Method","","","STD_URETHRITIS_PANELS — STD Urethritis Panels","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"158","Molecular & PCR Tests","STD Comprehensive","12500","Genital Swab/Urine","RT-PCR","Method","","","STD_COMPREHENSIVE — STD Comprehensive","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"159","Molecular & PCR Tests","STD Vaginal Panels","8500","Genital Swab/Urine","RT-PCR","Method","","","STD_VAGINAL_PANELS — STD Vaginal Panels","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"160","Molecular & PCR Tests","Tropical Fever Panels","8500","EDTA Blood/Urine","RT-PCR","Method","","","TROPICAL_FEVER_PANELS — Tropical Fever Panels","ProfileCandidate","MolecularWorkflow","","ExternalReferencePrice"
"161","Molecular & PCR Tests","Dengue & Chikungunya","10500","Serum/Plasma/Urine","RT-PCR","Method","","","DENGUE_CHIKUNGUNYA — Dengue & Chikungunya","AdditionalCandidate","MolecularWorkflow","","ExternalReferencePrice"
"162","Molecular & PCR Tests","Flu Differentiation","10000","Throat/Nasal Swabs","RT-PCR","Method","","","FLU_DIFFERENTIATION — Flu Differentiation","AdditionalCandidate","MolecularWorkflow","","ExternalReferencePrice"
"163","Molecular & PCR Tests","Influenza Panel","6500","NP/OP Swab","RT-PCR","Method","","","INFLUENZA_PANEL — Influenza Panel","ProfileCandidate","MolecularWorkflow","","ExternalReferencePrice"
"164","Molecular & PCR Tests","Neonatal Sepsis Panels","7500-12500","CSF/Blood","RT-PCR","Method","","","NEONATAL_SEPSIS_PANELS — Neonatal Sepsis Panels","ProfileCandidate","MolecularWorkflow","","ExternalReferencePrice"
"165","Molecular & PCR Tests","Gilbert Syndrome Mutation","8000","Whole Blood EDTA","RT-PCR","Method","","","GILBERT_SYNDROME_MUTATION — Gilbert Syndrome Mutation","SpecialistNewCandidate","MolecularWorkflow","","ExternalReferencePrice"
"166","Microbiology & Culture","Blood Culture & Sensitivity","800","Whole Blood in BHI","3-5 Days","ReportSchedule","","","BLOOD_CULTURE_SENSITIVITY — Blood Culture & Sensitivity","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"167","Microbiology & Culture","Urine Culture & Sensitivity","600","Urine","3-5 Days","ReportSchedule","","","URINE_CULTURE_SENSITIVITY — Urine Culture & Sensitivity","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"168","Microbiology & Culture","Sputum Culture & Sensitivity","1000","Sputum","3-5 Days","ReportSchedule","","","SPUTUM_CULTURE_SENSITIVITY — Sputum Culture & Sensitivity","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"169","Microbiology & Culture","Stool Culture & Sensitivity","1000","Stool","3-5 Days","ReportSchedule","","","STOOL_CULTURE_SENSITIVITY — Stool Culture & Sensitivity","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"170","Microbiology & Culture","Pus Culture & Sensitivity","1000","Pus","3-5 Days","ReportSchedule","Pus Culture and Sensitivity","","Pus Culture & Sensitivity microbiology case","SpecialistExistingOrVariant","MicrobiologyWorkflow","Semantic match requires operator confirmation","ExternalReferencePrice"
"171","Microbiology & Culture","Swab Culture & Sensitivity","1000","Swab","3-5 Days","ReportSchedule","","","SWAB_CULTURE_SENSITIVITY — Swab Culture & Sensitivity","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"172","Microbiology & Culture","CSF Culture & Sensitivity","1000","CSF","3-5 Days","ReportSchedule","","","CSF_CULTURE_SENSITIVITY — CSF Culture & Sensitivity","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"173","Microbiology & Culture","Body Fluids Culture","800","Body Fluids","3-5 Days","ReportSchedule","","","BODY_FLUIDS_CULTURE — Body Fluids Culture","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"174","Microbiology & Culture","Ascitic Fluid Culture","800","Ascitic Fluid","3-5 Days","ReportSchedule","","","ASCITIC_FLUID_CULTURE — Ascitic Fluid Culture","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"175","Microbiology & Culture","Pleural Fluid Culture","1000","Pleural Fluid","3-5 Days","ReportSchedule","","","PLEURAL_FLUID_CULTURE — Pleural Fluid Culture","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"176","Microbiology & Culture","Semen Culture","1000","Semen","3-5 Days","ReportSchedule","","","SEMEN_CULTURE — Semen Culture","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"177","Microbiology & Culture","Fungal Culture","1500","Infected Site","8-10 Days","ReportSchedule","","","FUNGAL_CULTURE — Fungal Culture","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"178","Microbiology & Culture","AFB Culture","3000","Sputum/Body Fluids","6-7 Weeks","ReportSchedule","","","AFB_CULTURE — AFB Culture","SpecialistNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"179","Microbiology & Culture","AFB Stain","300","Pus/Body Fluids","Same Day","ReportSchedule","","","AFB_STAIN — AFB Stain","StructuredNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"180","Microbiology & Culture","Sputum AFB","300","Sputum","Same Day","ReportSchedule","","","SPUTUM_AFB — Sputum AFB","StructuredNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"181","Microbiology & Culture","Gram Stain","300","Sputum","Same Day","ReportSchedule","Gram's Stain","","Gram's Stain","StructuredExistingOrVariant","MicrobiologyWorkflow","","ExternalReferencePrice"
"182","Microbiology & Culture","Fungus (KOH Preparation)","500","Clinical Specimen","Same Day","ReportSchedule","","","FUNGUS_KOH_PREPARATION — Fungus (KOH Preparation)","StructuredNewCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"183","Microbiology & Culture","Widal Test","300","Serum","Same Day","ReportSchedule","","","WIDAL — Widal Test","AdditionalCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"184","Microbiology & Culture","VDRL (RPR)","500","Serum","Same Day","ReportSchedule","","","VDRL_RPR — VDRL (RPR)","AdditionalCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"185","Microbiology & Culture","Dengue Combo","1500","Serum","Same Day","ReportSchedule","","","DENGUE_COMBO — Dengue Combo","ProfileCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"186","Microbiology & Culture","Scrub Typhus IgM","1750","Serum","Same Day","ReportSchedule","","","SCRUB_TYPHUS_IGM — Scrub Typhus IgM","AdditionalCandidate","MicrobiologyWorkflow","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"187","Microbiology & Culture","Leptospira IgG/IgM","1500","Serum","Same Day","ReportSchedule","","","LEPTOSPIRA_IGG_IGM — Leptospira IgG/IgM","AdditionalCandidate","MicrobiologyWorkflow","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"188","Microbiology & Culture","Malaria Parasite","500","Whole Blood EDTA","Same Day","ReportSchedule","","","MALARIA_PARASITE — Malaria Parasite","AdditionalCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"189","Microbiology & Culture","Cryptococcus Antigen","4400","Serum/CSF","7-10 Days","ReportSchedule","","","CRYPTOCOCCUS_ANTIGEN — Cryptococcus Antigen","AdditionalCandidate","MicrobiologyWorkflow","","ExternalReferencePrice"
"190","Hepatitis & HIV Panel","HBsAg (CLIA)","1500","Serum","CLIA","Method","","","HBSAG_CLIA — HBsAg (CLIA)","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"191","Hepatitis & HIV Panel","HBsAg (ELISA)","1200","Serum","ELISA","Method","HBsAg ELISA","","HBsAg ELISA","MethodOrAssayVariantReview","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"192","Hepatitis & HIV Panel","HBsAg Rapid","500","Serum","ICT","Method","","","HBSAG_RAPID — HBsAg Rapid","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"193","Hepatitis & HIV Panel","HBsAg Confirmatory","2750","Serum","Neutralization","Method","","","HBSAG_CONFIRMATORY — HBsAg Confirmatory","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"194","Hepatitis & HIV Panel","HBsAb","2500","Serum","CLIA","Method","","","HBSAB — HBsAb","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"195","Hepatitis & HIV Panel","HBeAg","2000","Serum","CLIA","Method","HBeAg","","HBeAg","Existing256Match","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"196","Hepatitis & HIV Panel","HBeAb","2000","Serum","CLIA","Method","","","HBEAB — HBeAb","AdditionalCandidate","Routine LIS / Serology-Immunology","","ExternalReferencePrice"
"197","Hepatitis & HIV Panel","HBc Total Ab","2200","Serum","CLIA","Method","","","HBC_TOTAL_AB — HBc Total Ab","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"198","Hepatitis & HIV Panel","HBc IgM Ab","2200","Serum","CLIA","Method","","","HBC_IGM_AB — HBc IgM Ab","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"199","Hepatitis & HIV Panel","HCV Ab (CLIA)","1500","Serum","CLIA","Method","","","HCV_AB_CLIA — HCV Ab (CLIA)","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"200","Hepatitis & HIV Panel","HCV (ELISA)","1200","Serum","ELISA","Method","","","HCV_ELISA — HCV (ELISA)","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"201","Hepatitis & HIV Panel","HCV Rapid","550","Serum","ICT","Method","","","HCV_RAPID — HCV Rapid","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"202","Hepatitis & HIV Panel","HAV IgM","2200","Serum","CLIA","Method","HAV IgM","","HAV IgM","MethodOrAssayVariantReview","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"203","Hepatitis & HIV Panel","HAV IgG","3300","Serum","CLIA","Method","","","HAV_IGG — HAV IgG","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"204","Hepatitis & HIV Panel","HEV IgM","1500","Serum","ICT","Method","","","HEV_IGM — HEV IgM","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"205","Hepatitis & HIV Panel","HEV IgM Ab","3300","Serum","ELISA","Method","","","HEV_IGM_AB — HEV IgM Ab","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"206","Hepatitis & HIV Panel","HIV I & II (Rapid)","500","Serum","ICT","Method","","","HIV_I_II_RAPID — HIV I & II (Rapid)","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"207","Hepatitis & HIV Panel","HIV Combi (Ag & Ab)","2500","Serum","CLIA","Method","","","HIV_COMBI_AG_AB — HIV Combi (Ag & Ab)","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"208","Hepatitis & HIV Panel","HIV I & II (ELISA)","2000","Serum","ELISA","Method","HIV ELISA I/II","","HIV ELISA I/II","MethodOrAssayVariantReview","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"209","Hepatitis & HIV Panel","HIV Western Blot","8000","Serum","Western Blot","Method","","","HIV_WESTERN_BLOT — HIV Western Blot","AdditionalCandidate","Routine LIS / Serology-Immunology","Method/assay identity versus configuration decision required","ExternalReferencePrice"
"210","Tumor Markers & Cancer Screening","AFP","1600","Serum","CLIA/CMIA","Method","Alfa Fetoprotein, AFP","AFP — Alfa Feto Protein [Active/Routine; clinical=true]","AFP — Alfa Feto Protein","Existing256Match","Routine or Pathology/IHC review","","ExternalReferencePrice"
"211","Tumor Markers & Cancer Screening","CEA","1700","Serum/Body Fluids","CLIA/CMIA","Method","","","CEA — CEA","AdditionalCandidate","Routine or Pathology/IHC review","","ExternalReferencePrice"
"212","Tumor Markers & Cancer Screening","CA 125","1700","Serum","CLIA","Method","CA 125","","CA 125","Existing256Match","Routine or Pathology/IHC review","","ExternalReferencePrice"
"213","Tumor Markers & Cancer Screening","CA 15.3","2200","Serum","CLIA/CMIA","Method","CA 15-3","","CA 15-3","Existing256Match","Routine or Pathology/IHC review","","ExternalReferencePrice"
"214","Tumor Markers & Cancer Screening","CA 19.9","2200","Serum","CLIA/CMIA","Method","CA 19-9","","CA 19-9","Existing256Match","Routine or Pathology/IHC review","","ExternalReferencePrice"
"215","Tumor Markers & Cancer Screening","CA-72.4","4400","Serum","CLIA","Method","CA 72-4","","CA 72-4","Existing256Match","Routine or Pathology/IHC review","","ExternalReferencePrice"
"216","Tumor Markers & Cancer Screening","PSA (Total)","1500","Serum","CLIA","Method","Total PSA","PSA — Prostate Specific Antigen (PSA, Total) [Active/Routine; clinical=false]","PSA — Prostate Specific Antigen (PSA, Total)","Existing256Match","Routine or Pathology/IHC review","","ExternalReferencePrice"
"217","Tumor Markers & Cancer Screening","PSA Free","2000","Serum","CLIA","Method","Free PSA","","Free PSA","Existing256Match","Routine or Pathology/IHC review","","ExternalReferencePrice"
"218","Tumor Markers & Cancer Screening","CYFRA 21-1","7000","Serum","EIA","Method","","","CYFRA_21_1 — CYFRA 21-1","AdditionalCandidate","Routine or Pathology/IHC review","","ExternalReferencePrice"
"219","Tumor Markers & Cancer Screening","Breast Cancer Panel (ER, PR, HER2 neu)","7000","Tumor Biopsy","IHC","Method","","","BREAST_CANCER_PANEL_ER_PR_HER2_NEU — Breast Cancer Panel (ER, PR, HER2 neu)","SpecialistNewCandidate","Routine or Pathology/IHC review","","ExternalReferencePrice"
"220","Tumor Markers & Cancer Screening","Chromogranin A","13200","EDTA Blood","EIA","Method","","","CHROMOGRANIN_A — Chromogranin A","AdditionalCandidate","Routine or Pathology/IHC review","","ExternalReferencePrice"
"221","Tumor Markers & Cancer Screening","Cancer Screening Female","6100","Serum","CLIA","Method","","","CANCER_SCREENING_FEMALE — Cancer Screening Female","AdditionalCandidate","Routine or Pathology/IHC review","","ExternalReferencePrice"
"222","Tumor Markers & Cancer Screening","Cancer Screening Male","4100","Serum","CLIA","Method","","","CANCER_SCREENING_MALE — Cancer Screening Male","AdditionalCandidate","Routine or Pathology/IHC review","","ExternalReferencePrice"
"223","Histopathology & Biopsy","Biopsy Group A","1500","Tissue in 10% Formalin","5-7 Days","ReportSchedule","","","BIOPSY_GROUP_A — Biopsy Group A","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"224","Histopathology & Biopsy","Biopsy Group B","2500","Tissue in 10% Formalin","5-7 Days","ReportSchedule","","","BIOPSY_GROUP_B — Biopsy Group B","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"225","Histopathology & Biopsy","Biopsy Group C","3500","Tissue in 10% Formalin","5-7 Days","ReportSchedule","","","BIOPSY_GROUP_C — Biopsy Group C","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"226","Histopathology & Biopsy","Biopsy Group D","4500","Tissue in 10% Formalin","5-7 Days","ReportSchedule","","","BIOPSY_GROUP_D — Biopsy Group D","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"227","Histopathology & Biopsy","Biopsy Group E","5500","Tissue in 10% Formalin","5-7 Days","ReportSchedule","","","BIOPSY_GROUP_E — Biopsy Group E","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"228","Histopathology & Biopsy","Biopsy Group F","10000","Tissue in 10% Formalin","5-7 Days","ReportSchedule","","","BIOPSY_GROUP_F — Biopsy Group F","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"229","Histopathology & Biopsy","Special Biopsy Group A-E","3000-11000","Tissue in 10% Formalin","5-7 Days","ReportSchedule","","","SPECIAL_BIOPSY_GROUP_A_E — Special Biopsy Group A-E","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"230","Histopathology & Biopsy","Kidney Biopsy Panel","8000","Kidney Biopsy","5-7 Days","ReportSchedule","","","KIDNEY_BIOPSY_PANEL — Kidney Biopsy Panel","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"231","Histopathology & Biopsy","Skin Biopsy Panel","5500","Skin Biopsy","5-7 Days","ReportSchedule","","","SKIN_BIOPSY_PANEL — Skin Biopsy Panel","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
"232","Histopathology & Biopsy","Pap Smear","1000","Cervical Smear","1-2 Days","ReportSchedule","Hemoglobin","HB — Hemoglobin (Hb) [Active/Routine; clinical=false]","HB — Hemoglobin","SpecialistExistingOrVariant","Histopathology/CytologyWorkflow","Semantic match requires operator confirmation","ExternalReferencePrice"
"233","Histopathology & Biopsy","LBC (Liquid Based Cytology)","2200","LBC Specimen","2-3 Days","ReportSchedule","","","LBC_LIQUID_BASED_CYTOLOGY — LBC (Liquid Based Cytology)","SpecialistNewCandidate","Histopathology/CytologyWorkflow","","ExternalReferencePrice"
