code,name,category,configuration_type,status,priority,parameter_count,reference_range_required,reference_range_count,qualitative_config_required,analyzer_mapping_required,analyzer_mapping_count,method,specimen,active_rate,action_reason
"COA-0010","Factor IX Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"One-stage clot assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0011","Factor XI Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Clot assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0012","Factor XII Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Clot assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0013","Factor VII Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Clot assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0014","Factor V Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Clot assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0015","Factor X Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Clot assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0016","Factor XIII Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Functional assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0017","Von Willebrand Factor Antigen","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Immunoassay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0018","Von Willebrand Factor Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Activity assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0019","Protein C Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chromogenic/Clot assay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0020","Protein S Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Clot/Immunoassay","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0021","Antithrombin III Activity","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chromogenic","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0022","Lupus Anticoagulant Screen","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"dRVVT/LA-sensitive APTT","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0023","dRVVT Screen","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"dRVVT","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0024","dRVVT Confirm","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"dRVVT","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0025","Mixing Study PT","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Mixing study","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0026","Mixing Study APTT","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Mixing study","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0027","Anti-Xa Heparin Assay","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chromogenic","Citrated Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0028","Fibrin Degradation Products","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Latex/Immunoassay","Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0029","Platelet Function Screen","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"PFA/aggregation platform","Citrated Whole Blood","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"COA-0030","Platelet Aggregation Studies","Coagulation","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Light transmission aggregometry","Citrated Platelet Rich Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"CYT-0001","FNAC - Thyroid","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0002","FNAC - Breast","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0003","FNAC - Lymph Node","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0004","FNAC - Salivary Gland","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0005","FNAC - Soft Tissue","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0006","FNAC - Other Site","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0007","Pap Smear - Conventional","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0008","Pap Smear - Liquid Based Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0009","Pleural Fluid Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0010","Ascitic Fluid Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0011","Pericardial Fluid Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0012","CSF Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0013","Urine Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0014","Sputum Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0015","BAL Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0016","Brush Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0017","Imprint Cytology","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"CYT-0018","Cell Block Preparation","Cytology","CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1",1,"FALSE",0,"FALSE","FALSE",0,"Cytology microscopy","Cytology specimen","RATE_PENDING","NARRATIVE_TEMPLATE_MISSING; RATE_MISSING"
"END-0006","Anti-TPO Antibody","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chemiluminescent Immunoassay (CLIA)","Serum / Plasma","2000.00","NUMERIC_RANGE_MISSING"
"END-0007","Anti-Thyroglobulin Antibody","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chemiluminescent Immunoassay (CLIA)","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0008","Thyroglobulin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chemiluminescent Immunoassay (CLIA)","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0009","TSH Receptor Antibody (TRAb)","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chemiluminescent Immunoassay (CLIA)","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0010","Thyroid Stimulating Immunoglobulin (TSI)","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chemiluminescent Immunoassay (CLIA / LC-MS)","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0011","PTH, Intact","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Chemiluminescent Immunoassay (CLIA)","Serum / Plasma","3000.00","NUMERIC_RANGE_MISSING"
"END-0012","Calcitonin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0013","Cortisol, 8 AM","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","2500.00","NUMERIC_RANGE_MISSING"
"END-0014","Cortisol, 4 PM","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0015","ACTH","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","EDTA Plasma (chilled)","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0016","DHEA-S","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0017","DHEA","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0018","Aldosterone","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0019","Plasma Renin Activity","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0020","Direct Renin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0021","Aldosterone/Renin Ratio","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0022","Growth Hormone (GH)","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","2000.00","NUMERIC_RANGE_MISSING"
"END-0023","IGF-1","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0024","IGFBP-3","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0025","Prolactin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","800.00","NUMERIC_RANGE_MISSING"
"END-0026","Macroprolactin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0027","FSH","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","800.00","NUMERIC_RANGE_MISSING"
"END-0028","LH","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","800.00","NUMERIC_RANGE_MISSING"
"END-0029","Estradiol (E2)","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0030","Progesterone","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","2500.00","NUMERIC_RANGE_MISSING"
"END-0031","Testosterone, Total","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","1200.00","NUMERIC_RANGE_MISSING"
"END-0032","Testosterone, Free","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0033","SHBG","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0034","Free Androgen Index","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0035","Androstenedione","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0036","17-OH Progesterone","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0037","AMH","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","3500.00","NUMERIC_RANGE_MISSING"
"END-0038","Inhibin B","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0040","Beta-hCG, Qualitative","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0041","Insulin, Fasting","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","3000.00","NUMERIC_RANGE_MISSING"
"END-0042","Insulin, Postprandial","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0043","C-Peptide, Fasting","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0044","C-Peptide, Postprandial","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0045","HOMA-IR","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"Governed Mathematical Calculation","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0046","Leptin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0047","Adiponectin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0048","Erythropoietin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0049","Gastrin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0050","Insulin-like Growth Factor 2","Endocrinology","COAGULATION","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0051","Chromogranin A","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0052","Serotonin, Serum","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0053","Melatonin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0054","ADH / Vasopressin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","EDTA Plasma (chilled)","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0055","Copeptin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"CLIA/ECLIA/Validated immunoassay","Serum / Plasma","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0066","Free T4 by Equilibrium Dialysis","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0067","Reverse T3","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0068","Thyroxine Binding Globulin","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0069","IGF Binding Protein 1","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0070","Free Cortisol, Serum","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0071","Salivary Cortisol, Morning","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0072","Salivary Cortisol, Midnight","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0073","17-Hydroxypregnenolone","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0074","11-Deoxycortisol","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
"END-0075","Deoxycorticosterone","Endocrinology","IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1",1,"TRUE",0,"FALSE","FALSE",0,"LC-MS/MS or validated immunoassay","Serum / Plasma / Saliva as specified","RATE_PENDING","NUMERIC_RANGE_MISSING; RATE_MISSING"
